Reference, Value, Footprint, Datasheet, Field4,Manufacturer,Digikey Part Number,Manufacturer Part Number,Cost
U1,AD812,SMD_Packages:SOIC-8-N,,1,ADI,AD812ARZ-REELTR-ND,AD812ARZ-REEL,3.27015
R5,9.1k,Resistors_SMD:R_0402,,,Vishay,541-9.10KLTR-ND,CRCW04029K10FKED,0.00347
R6,12k,Resistors_SMD:R_0402,,,Vishay,541-12.0KLTR-ND,CRCW040212K0FKED,0.00347
R7,1K,Resistors_SMD:R_0402,,,Vishay,541-1.00KLTR-ND,CRCW04021K00FKED,0.00347
R9,620,Resistors_SMD:R_0402,,,Vishay, 541-620LTR-ND,CRCW0402620RFKED,0.00347
R8,620,Resistors_SMD:R_0402,,,Vishay, 541-620LTR-ND,CRCW0402620RFKED,0.00347
C3,1uF,Capacitors_SMD:C_0603,,,KEMET,399-3118-2-ND,C0603C105K8PACTU ,0.00845
C4,33uF,Capacitors_SMD:C_0805,,,TDK Corporation,445-5986-2-ND,C2012X5R0J336M125AC,0.252
C5,47uF,Capacitors_SMD:C_0805,,,KEMET,445-5987-2-ND,C2012X5R0J476M125AC,0.2016
R1,5.1k,Resistors_SMD:R_0402,,,Vishay,541-5.10KLTR-ND,CRCW04025K10FKED,0.00347
R3,5.1k,Resistors_SMD:R_0402,,,Vishay,541-5.10KLTR-ND,CRCW04025K10FKED,0.00347
R2,30k,Resistors_SMD:R_2816,,,Vishay,541-30.0KLTR-ND,CRCW040230K0FKED,0.00347
R4,30k,Resistors_SMD:R_2816,,,Vishay,541-30.0KLTR-ND,CRCW040230K0FKED,0.00347
C1,1nF,Capacitors_SMD:C_0402,,,KEMET,399-10034-2-ND,C0402C102J5GACTU,0.01103
C2,1nF,Capacitors_SMD:C_0402,,,KEMET,399-10034-2-ND,C0402C102J5GACTU,0.01103
J1,CONN_01X01,Connectors:Banana_Jack_1Pin,,,,,,
J2,CONN_01X01,Connectors:Banana_Jack_1Pin,,,,,,
